1,2,3,4,5,6
hamiljo03,Silver Slugger,2008,AL,,OF
quentca01,Silver Slugger,2008,AL,,OF
sizemgr01,Silver Slugger,2008,AL,,OF
jeterde01,Silver Slugger,2008,AL,,SS
pujolal01,Silver Slugger,2008,NL,,1B
utleych01,Silver Slugger,2008,NL,,2B
wrighda03,Silver Slugger,2008,NL,,3B
mccanbr01,Silver Slugger,2008,NL,,C
braunry02,Silver Slugger,2008,NL,,OF
hollima01,Silver Slugger,2008,NL,,OF
ludwiry01,Silver Slugger,2008,NL,,OF
zambrca01,Silver Slugger,2008,NL,,P
ramirha01,Silver Slugger,2008,NL,,SS
teixema01,Silver Slugger,2009,AL,,1B
hillaa01,Silver Slugger,2009,AL,,2B
longoev01,Silver Slugger,2009,AL,,3B
mauerjo01,Silver Slugger,2009,AL,,C
lindad01,Silver Slugger,2009,AL,,DH
bayja01,Silver Slugger,2009,AL,,OF
hunteto01,Silver Slugger,2009,AL,,OF
suzukic01,Silver Slugger,2009,AL,,OF
jeterde01,Silver Slugger,2009,AL,,SS
pujolal01,Silver Slugger,2009,NL,,1B
utleych01,Silver Slugger,2009,NL,,2B
zimmery01,Silver Slugger,2009,NL,,3B
mccanbr01,Silver Slugger,2009,NL,,C
braunry02,Silver Slugger,2009,NL,,OF
ethiean01,Silver Slugger,2009,NL,,OF
kempma01,Silver Slugger,2009,NL,,OF
zambrca01,Silver Slugger,2009,NL,,P
ramirha01,Silver Slugger,2009,NL,,SS
cabremi01,Silver Slugger,2010,AL,,1B
canoro01,Silver Slugger,2010,AL,,2B
beltrad01,Silver Slugger,2010,AL,,3B
mauerjo01,Silver Slugger,2010,AL,,C
guerrvl01,Silver Slugger,2010,AL,,DH
bautijo02,Silver Slugger,2010,AL,,OF
crawfca02,Silver Slugger,2010,AL,,OF
hamiljo03,Silver Slugger,2010,AL,,OF
ramiral03,Silver Slugger,2010,AL,,SS
pujolal01,Silver Slugger,2010,NL,,1B
ugglada01,Silver Slugger,2010,NL,,2B
zimmery01,Silver Slugger,2010,NL,,3B
mccanbr01,Silver Slugger,2010,NL,,C
braunry02,Silver Slugger,2010,NL,,OF
gonzaca01,Silver Slugger,2010,NL,,OF
hollima01,Silver Slugger,2010,NL,,OF
gallayo01,Silver Slugger,2010,NL,,P
tulowtr01,Silver Slugger,2010,NL,,SS
gonzaad01,Silver Slugger,2011,AL,,1B
canoro01,Silver Slugger,2011,AL,,2B
beltrad01,Silver Slugger,2011,AL,,3B
avilaal01,Silver Slugger,2011,AL,,C
ortizda01,Silver Slugger,2011,AL,,DH
bautijo02,Silver Slugger,2011,AL,,OF
ellsbja01,Silver Slugger,2011,AL,,OF
grandcu01,Silver Slugger,2011,AL,,OF
cabreas01,Silver Slugger,2011,AL,,SS
fieldpr01,Silver Slugger,2011,NL,,1B
phillbr01,Silver Slugger,2011,NL,,2B
ramirar01,Silver Slugger,2011,NL,,3B
mccanbr01,Silver Slugger,2011,NL,,C
braunry02,Silver Slugger,2011,NL,,OF
kempma01,Silver Slugger,2011,NL,,OF
uptonju01,Silver Slugger,2011,NL,,OF
hudsoda01,Silver Slugger,2011,NL,,P
tulowtr01,Silver Slugger,2011,NL,,SS
fieldpr01,Silver Slugger,2012,AL,,1B
canoro01,Silver Slugger,2012,AL,,2B
cabremi01,Silver Slugger,2012,AL,,3B
pierzaj01,Silver Slugger,2012,AL,,C
butlebi03,Silver Slugger,2012,AL,,DH
hamiljo03,Silver Slugger,2012,AL,,OF
troutmi01,Silver Slugger,2012,AL,,OF
willijo03,Silver Slugger,2012,AL,,OF
jeterde01,Silver Slugger,2012,AL,,SS
larocad01,Silver Slugger,2012,NL,,1B
hillaa01,Silver Slugger,2012,NL,,2B
headlch01,Silver Slugger,2012,NL,,3B
poseybu01,Silver Slugger,2012,NL,,C
braunry01,Silver Slugger,2012,NL,,OF
bruceja01,Silver Slugger,2012,NL,,OF
mccutan01,Silver Slugger,2012,NL,,OF
strasst01,Silver Slugger,2012,NL,,P
desmoia01,Silver Slugger,2012,NL,,SS
davisch02,Silver Slugger,2013,AL,,1B
canoro01,Silver Slugger,2013,AL,,2B
cabremi01,Silver Slugger,2013,AL,,3B
mauerjo01,Silver Slugger,2013,AL,,C
ortizda01,Silver Slugger,2013,AL,,DH
hunteto01,Silver Slugger,2013,AL,,OF
jonesad01,Silver Slugger,2013,AL,,OF
troutmi01,Silver Slugger,2013,AL,,OF
hardyjj01,Silver Slugger,2013,AL,,SS
goldspa01,Silver Slugger,2013,NL,,1B
carpema01,Silver Slugger,2013,NL,,2B
alvarpe01,Silver Slugger,2013,NL,,3B
molinya01,Silver Slugger,2013,NL,,C
bruceja01,Silver Slugger,2013,NL,,OF
cuddymi01,Silver Slugger,2013,NL,,OF
mccutan01,Silver Slugger,2013,NL,,OF
greinza01,Silver Slugger,2013,NL,,P
desmoia01,Silver Slugger,2013,NL,,SS
abreujo02,Silver Slugger,2014,AL,,1B
altuvjo01,Silver Slugger,2014,AL,,2B
beltrad01,Silver Slugger,2014,AL,,3B
gomesya01,Silver Slugger,2014,AL,,C
martivi01,Silver Slugger,2014,AL,,DH
troutmi01,Silver Slugger,2014,AL,,OF
brantmi02,Silver Slugger,2014,AL,,OF
bautijo02,Silver Slugger,2014,AL,,OF
ramiral03,Silver Slugger,2014,AL,,SS
gonzaad01,Silver Slugger,2014,NL,,1B
walkene01,Silver Slugger,2014,NL,,2B
rendoan01,Silver Slugger,2014,NL,,3B
poseybu01,Silver Slugger,2014,NL,,C
uptonju01,Silver Slugger,2014,NL,,OF
stantmi03,Silver Slugger,2014,NL,,OF
mccutan01,Silver Slugger,2014,NL,,OF
bumgama01,Silver Slugger,2014,NL,,P
desmoia01,Silver Slugger,2014,NL,,SS
cabremi01,Silver Slugger,2015,AL,,1B
altuvjo01,Silver Slugger,2015,AL,,2B
donaljo02,Silver Slugger,2015,AL,,3B
mccanbr01,Silver Slugger,2015,AL,,C
moralke01,Silver Slugger,2015,AL,,DH
troutmi01,Silver Slugger,2015,AL,,OF
martijd02,Silver Slugger,2015,AL,,OF
cruzne02,Silver Slugger,2015,AL,,OF
bogaexa01,Silver Slugger,2015,AL,,SS
goldspa01,Silver Slugger,2015,NL,,1B
gordode01,Silver Slugger,2015,NL,,2B
arenano01,Silver Slugger,2015,NL,,3B
poseybu01,Silver Slugger,2015,NL,,C
harpebr03,Silver Slugger,2015,NL,,OF
gonzaca01,Silver Slugger,2015,NL,,OF
mccutan01,Silver Slugger,2015,NL,,OF
bumgama01,Silver Slugger,2015,NL,,P
crawfbr01,Silver Slugger,2015,NL,,SS
perezsa02,Silver Slugger,2016,AL,,C
cabremi01,Silver Slugger,2016,AL,,1B
altuvjo01,Silver Slugger,2016,AL,,2B
donaljo02,Silver Slugger,2016,AL,,3B
bogaexa01,Silver Slugger,2016,AL,,SS
bettsmo01,Silver Slugger,2016,AL,,OF
troutmi01,Silver Slugger,2016,AL,,OF
trumbma01,Silver Slugger,2016,AL,,OF
ortizda01,Silver Slugger,2016,AL,,DH
ramoswi01,Silver Slugger,2016,NL,,C
rizzoan01,Silver Slugger,2016,NL,,1B
murphda08,Silver Slugger,2016,NL,,2B
arenano01,Silver Slugger,2016,NL,,3B
seageco01,Silver Slugger,2016,NL,,SS
blackch02,Silver Slugger,2016,NL,,OF
cespeyo01,Silver Slugger,2016,NL,,OF
yelicch01,Silver Slugger,2016,NL,,OF
arrieja01,Silver Slugger,2016,NL,,P
sanchga02,Silver Slugger,2017,AL,,C
hosmeer01,Silver Slugger,2017,AL,,1B
altuvjo01,Silver Slugger,2017,AL,,2B
ramirjo01,Silver Slugger,2017,AL,,3B
lindofr01,Silver Slugger,2017,AL,,SS
judgeaa01,Silver Slugger,2017,AL,,OF
springe01,Silver Slugger,2017,AL,,OF
uptonju01,Silver Slugger,2017,AL,,OF
cruzne02,Silver Slugger,2017,AL,,DH
poseybu01,Silver Slugger,2017,NL,,C
goldspa01,Silver Slugger,2017,NL,,1B
murphda08,Silver Slugger,2017,NL,,2B
arenano01,Silver Slugger,2017,NL,,3B
seageco01,Silver Slugger,2017,NL,,SS
stantmi03,Silver Slugger,2017,NL,,OF
ozunama01,Silver Slugger,2017,NL,,OF
blackch02,Silver Slugger,2017,NL,,OF
wainwad01,Silver Slugger,2017,NL,,P
